
NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
FastTrack                                          Lifan                                              Katarzyna Szymanski                                                                                                             109          4

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          Lifan                                              Katarzyna Wisniewski                                                                                                            102          5
FastTrack                                          Lifan                                              Jan Kowalski                                                                                                                    100          6
FastTrack                                          Lifan                                              Pawel Wisniewski                                                                                                                 99          7
FastTrack                                          Lifan                                              Maria Nowak                                                                                                                      97          8
FastTrack                                          Lifan                                              Jan Kaminski                                                                                                                     93          9
FastTrack                                          CFMoto                                             Piotr Wojcik                                                                                                                     80         10
FastTrack                                          Aeon                                               Pawel Wisniewski                                                                                                                 78         11
FastTrack                                          CFMoto                                             Jan Kaminski                                                                                                                     78         11
FastTrack                                          Suzuki                                             Piotr Wojcik                                                                                                                     75         12
FastTrack                                          CFMoto                                             Magdalena Wojcik                                                                                                                 75         12
FastTrack                                          Aeon                                               Jan Kowalski                                                                                                                     74         13

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          CFMoto                                             Katarzyna Szymanski                                                                                                              74         13
FastTrack                                          CFMoto                                             Maria Nowak                                                                                                                      72         14
FastTrack                                          Keeway                                             Piotr Wojcik                                                                                                                     72         14
FastTrack                                          Keeway                                             Pawel Wisniewski                                                                                                                 71         15
FastTrack                                          Aeon                                               Maria Nowak                                                                                                                      71         15
FastTrack                                          Suzuki                                             Maria Wozniak                                                                                                                    70         16
FastTrack                                          CFMoto                                             Maria Wozniak                                                                                                                    70         16
FastTrack                                          Keeway                                             Katarzyna Wisniewski                                                                                                             69         17
FastTrack                                          CFMoto                                             Pawel Wisniewski                                                                                                                 69         17
FastTrack                                          Rieju                                              Piotr Wojcik                                                                                                                     69         17
FastTrack                                          Rieju                                              Jan Kaminski                                                                                                                     69         17

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          Keeway                                             Jan Kowalski                                                                                                                     69         17
FastTrack                                          Suzuki                                             Maria Nowak                                                                                                                      68         18
FastTrack                                          Suzuki                                             Jan Kowalski                                                                                                                     68         18
FastTrack                                          CFMoto                                             Katarzyna Wisniewski                                                                                                             68         18
FastTrack                                          Rieju                                              Pawel Wisniewski                                                                                                                 68         18
FastTrack                                          Keeway                                             Jan Kaminski                                                                                                                     67         19
FastTrack                                          Aeon                                               Piotr Wojcik                                                                                                                     67         19
FastTrack                                          Keeway                                             Maria Wozniak                                                                                                                    66         20
FastTrack                                          Peugeot                                            Jan Kaminski                                                                                                                     66         20
FastTrack                                          Suzuki                                             Jan Kaminski                                                                                                                     66         20
FastTrack                                          Aeon                                               Katarzyna Wisniewski                                                                                                             66         20

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          Suzuki                                             Magdalena Wojcik                                                                                                                 65         21
FastTrack                                          Peugeot                                            Katarzyna Szymanski                                                                                                              65         21
FastTrack                                          Aeon                                               Katarzyna Szymanski                                                                                                              64         22
FastTrack                                          CFMoto                                             Jan Kaminski                                                                                                                     64         22
FastTrack                                          Keeway                                             Jan Kaminski                                                                                                                     64         22
FastTrack                                          Suzuki                                             Katarzyna Wisniewski                                                                                                             62         23
FastTrack                                          Keeway                                             Magdalena Wojcik                                                                                                                 62         23
FastTrack                                          Rieju                                              Maria Wozniak                                                                                                                    61         24
FastTrack                                          Aeon                                               Jan Kaminski                                                                                                                     61         24
FastTrack                                          Aeon                                               Jan Kaminski                                                                                                                     61         24
FastTrack                                          CFMoto                                             Jan Kowalski                                                                                                                     61         24

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          Rieju                                              Magdalena Wojcik                                                                                                                 60         25
FastTrack                                          Super Soco                                         Maria Nowak                                                                                                                      59         26
FastTrack                                          Aeon                                               Magdalena Wojcik                                                                                                                 59         26
FastTrack                                          Aeon                                               Maria Wozniak                                                                                                                    59         26
FastTrack                                          TGB                                                Katarzyna Szymanski                                                                                                              59         26
FastTrack                                          Rieju                                              Jan Kaminski                                                                                                                     58         27
FastTrack                                          Keeway                                             Maria Nowak                                                                                                                      57         28
FastTrack                                          Suzuki                                             Katarzyna Szymanski                                                                                                              57         28
FastTrack                                          Keeway                                             Katarzyna Szymanski                                                                                                              57         28
FastTrack                                          Peugeot                                            Piotr Wojcik                                                                                                                     57         28
FastTrack                                          Rieju                                              Jan Kowalski                                                                                                                     56         29

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          Bajaj                                              Jan Kaminski                                                                                                                     56         29
FastTrack                                          Suzuki                                             Pawel Wisniewski                                                                                                                 56         29
FastTrack                                          Peugeot                                            Maria Wozniak                                                                                                                    55         30
FastTrack                                          Aprilia                                            Maria Nowak                                                                                                                      55         30
FastTrack                                          Peugeot                                            Jan Kaminski                                                                                                                     54         31
FastTrack                                          Super Soco                                         Pawel Wisniewski                                                                                                                 54         31
FastTrack                                          TGB                                                Maria Nowak                                                                                                                      54         31
FastTrack                                          TGB                                                Jan Kaminski                                                                                                                     54         31
FastTrack                                          Rieju                                              Katarzyna Wisniewski                                                                                                             53         32
FastTrack                                          Peugeot                                            Katarzyna Wisniewski                                                                                                             53         32
FastTrack                                          Gogoro                                             Jan Kaminski                                                                                                                     53         32

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          Suzuki                                             Jan Kaminski                                                                                                                     53         32
FastTrack                                          TGB                                                Jan Kowalski                                                                                                                     52         33
FastTrack                                          Malaguti                                           Jan Kaminski                                                                                                                     52         33
FastTrack                                          Rieju                                              Maria Nowak                                                                                                                      52         33
FastTrack                                          E-Twow                                             Pawel Wisniewski                                                                                                                 51         34
FastTrack                                          E-Twow                                             Katarzyna Wisniewski                                                                                                             51         34
FastTrack                                          Malaguti                                           Katarzyna Wisniewski                                                                                                             50         35
FastTrack                                          Bajaj                                              Maria Nowak                                                                                                                      50         35
FastTrack                                          Peugeot                                            Magdalena Wojcik                                                                                                                 50         35
FastTrack                                          Rieju                                              Katarzyna Szymanski                                                                                                              50         35
FastTrack                                          TGB                                                Piotr Wojcik                                                                                                                     50         35

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          E-Twow                                             Maria Nowak                                                                                                                      50         35
FastTrack                                          Peugeot                                            Jan Kowalski                                                                                                                     49         36
FastTrack                                          Super Soco                                         Jan Kaminski                                                                                                                     49         36
FastTrack                                          Ducati                                             Katarzyna Szymanski                                                                                                              49         36
FastTrack                                          Super Soco                                         Jan Kowalski                                                                                                                     49         36
FastTrack                                          TGB                                                Katarzyna Wisniewski                                                                                                             47         37
FastTrack                                          Super Soco                                         Magdalena Wojcik                                                                                                                 47         37
FastTrack                                          Super Soco                                         Jan Kaminski                                                                                                                     47         37
FastTrack                                          Ducati                                             Jan Kaminski                                                                                                                     47         37
FastTrack                                          E-Twow                                             Maria Wozniak                                                                                                                    47         37
FastTrack                                          Super Soco                                         Maria Wozniak                                                                                                                    47         37

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          Bajaj                                              Pawel Wisniewski                                                                                                                 47         37
FastTrack                                          Ducati                                             Katarzyna Wisniewski                                                                                                             47         37
FastTrack                                          Bajaj                                              Jan Kowalski                                                                                                                     46         38
FastTrack                                          Ducati                                             Piotr Wojcik                                                                                                                     46         38
FastTrack                                          Peugeot                                            Maria Nowak                                                                                                                      46         38
FastTrack                                          E-Twow                                             Jan Kowalski                                                                                                                     46         38
FastTrack                                          Bajaj                                              Piotr Wojcik                                                                                                                     45         39
FastTrack                                          Peugeot                                            Pawel Wisniewski                                                                                                                 45         39
FastTrack                                          Bajaj                                              Magdalena Wojcik                                                                                                                 44         40
FastTrack                                          Super Soco                                         Piotr Wojcik                                                                                                                     44         40
FastTrack                                          Aprilia                                            Katarzyna Szymanski                                                                                                              44         40

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          Bajaj                                              Jan Kaminski                                                                                                                     44         40
FastTrack                                          Malaguti                                           Piotr Wojcik                                                                                                                     43         41
FastTrack                                          Bajaj                                              Katarzyna Szymanski                                                                                                              43         41
FastTrack                                          Aprilia                                            Jan Kaminski                                                                                                                     42         42
FastTrack                                          E-Twow                                             Katarzyna Szymanski                                                                                                              42         42
FastTrack                                          E-Twow                                             Jan Kaminski                                                                                                                     42         42
FastTrack                                          Bajaj                                              Katarzyna Wisniewski                                                                                                             41         43
FastTrack                                          E-Twow                                             Magdalena Wojcik                                                                                                                 41         43
FastTrack                                          E-Twow                                             Jan Kaminski                                                                                                                     41         43
FastTrack                                          Gogoro                                             Maria Wozniak                                                                                                                    41         43
FastTrack                                          Malaguti                                           Maria Wozniak                                                                                                                    41         43

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          Gogoro                                             Jan Kowalski                                                                                                                     41         43
FastTrack                                          Gogoro                                             Katarzyna Wisniewski                                                                                                             40         44
FastTrack                                          Malaguti                                           Jan Kowalski                                                                                                                     40         44
FastTrack                                          Malaguti                                           Jan Kaminski                                                                                                                     40         44
FastTrack                                          Super Soco                                         Katarzyna Wisniewski                                                                                                             39         45
FastTrack                                          Super Soco                                         Katarzyna Szymanski                                                                                                              39         45
FastTrack                                          Honda                                              Katarzyna Szymanski                                                                                                              39         45
FastTrack                                          Ducati                                             Jan Kowalski                                                                                                                     39         45
FastTrack                                          Aprilia                                            Jan Kowalski                                                                                                                     38         46
FastTrack                                          Ducati                                             Magdalena Wojcik                                                                                                                 38         46
FastTrack                                          TGB                                                Pawel Wisniewski                                                                                                                 38         46

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          E-Twow                                             Piotr Wojcik                                                                                                                     38         46
FastTrack                                          Ducati                                             Jan Kaminski                                                                                                                     37         47
FastTrack                                          Aprilia                                            Katarzyna Wisniewski                                                                                                             37         47
FastTrack                                          Gogoro                                             Jan Kaminski                                                                                                                     37         47
FastTrack                                          Ducati                                             Pawel Wisniewski                                                                                                                 37         47
FastTrack                                          TGB                                                Maria Wozniak                                                                                                                    37         47
FastTrack                                          Malaguti                                           Maria Nowak                                                                                                                      36         48
FastTrack                                          Aprilia                                            Magdalena Wojcik                                                                                                                 36         48
FastTrack                                          Bajaj                                              Maria Wozniak                                                                                                                    36         48
FastTrack                                          Aprilia                                            Pawel Wisniewski                                                                                                                 35         49
FastTrack                                          TGB                                                Magdalena Wojcik                                                                                                                 35         49

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          Ducati                                             Maria Wozniak                                                                                                                    35         49
FastTrack                                          Malaguti                                           Magdalena Wojcik                                                                                                                 34         50
FastTrack                                          Aprilia                                            Piotr Wojcik                                                                                                                     34         50
FastTrack                                          TGB                                                Jan Kaminski                                                                                                                     34         50
FastTrack                                          Aprilia                                            Jan Kaminski                                                                                                                     34         50
FastTrack                                          Malaguti                                           Pawel Wisniewski                                                                                                                 34         50
FastTrack                                          Gogoro                                             Magdalena Wojcik                                                                                                                 33         51
FastTrack                                          Aprilia                                            Maria Wozniak                                                                                                                    32         52
FastTrack                                          Gogoro                                             Katarzyna Szymanski                                                                                                              32         52
FastTrack                                          Moto Guzzi                                         Jan Kowalski                                                                                                                     31         53
FastTrack                                          Malaguti                                           Katarzyna Szymanski                                                                                                              30         54

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
FastTrack                                          Gogoro                                             Piotr Wojcik                                                                                                                     30         54
FastTrack                                          Kawasaki                                           Maria Wozniak                                                                                                                    30         54
FastTrack                                          Honda                                              Jan Kaminski                                                                                                                     29         55
FastTrack                                          Loncin                                             Piotr Wojcik                                                                                                                     29         55
FastTrack                                          Honda                                              Pawel Wisniewski                                                                                                                 29         55
FastTrack                                          Ducati                                             Maria Nowak                                                                                                                      29         55
FastTrack                                          Honda                                              Jan Kaminski                                                                                                                     28         56
FastTrack                                          Sym                                                Jan Kaminski                                                                                                                     28         56
FastTrack                                          Sym                                                Magdalena Wojcik                                                                                                                 28         56
FastTrack                                          Honda                                              Jan Kowalski                                                                                                                     28         56
FastTrack                                          Gogoro                                             Maria Nowak                                                                                                                      28         56

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
